experiment,accuracy,precision,recall,f1,roc_auc,training_time_seconds
Random Forest - Base,1.0,1.0,1.0,1.0,1.0,0.8963615894317627
Random Forest - Tuned,1.0,1.0,1.0,1.0,1.0,11.502020597457886
