experiment,accuracy,precision,recall,f1,roc_auc,training_time_seconds
Random Forest - Base,1.0,1.0,1.0,1.0,1.0,0.6549012660980225
Random Forest - Tuned,1.0,1.0,1.0,1.0,1.0,8.929863929748535
